Sickness_Name,Symptoms
alpha-1 antitrypsin (aat) deficiency,"wheezing whistling sounds when you breathe 
 having colds often 
 feeling tired 
 fast heartbeat when you stand 
 weight loss 
 vitamin 
 medicines ease 
 treatments for bleeding and fluid your belly 
"
achilles tendon injury,"you heard pop snap the time the injury 
 you can bear weight your foot ankle 
 the pain keeps you night 
 your leg swelling 
 your foot ankle turns different color 
 your foot ankle feels hotter colder than the rest your leg 
 you have signs infection like high fever feeling run down 
"
epilepsy corpus callosotomy,"scalp numbness 
 nausea 
 feeling tired depressed 
 headaches 
 difficulty speaking remembering things finding words 
 paralysis weakness loss sensation 
 change personality 
"
amenorrhea,"pain 
 changes your 
 headaches 
 acne 
 hair loss 
 more 
 milky discharge from your nipples 
 
"
bursitis,"imaging tests 
 lab tests 
"
dwarfism,"larger head 
 late development certain motor skills such sitting walking 
 breathing problems 
 curvature the spine 
 bowed legs 
 joint stiffness and 
 lower back pain 
 crowding teeth 
"
bunions,"swelling 
 redness 
 tenderness when you touch 
 pain 
 limited movement the joint toe 
 corns calluses 
"
bird flu,"gut problems nausea belly pain diarrhea and vomiting 
 breathing problems shortness breath serious respiratory distress failure pneumonia and other respiratory diseases 
 brain nervous system changes you might notice shifts behavior thinking even organ function seizures are possible serious cases 
"
autosomal dominant polycystic kidney disease,"pain 
 blood 
 swelling your belly the cysts grow 
 fatigue 
 the need pee often 
 irregular periods 
 nausea 
 shortness breath 
 swollen ankles 
 erectile dysfunction 
"
pudendal neuralgia,"sharp burning pain 
 more sensitivity 
 numbness pins and needles feeling like when your leg falls asleep 
 swollen feeling 
 sudden frequent need the bathroom 
 trouble pain during sex 
 for men problems getting erection 
"
brucellosis,"fever the most common symptom with high spikes that usually occur the afternoon 
 back pain 
 body wide aches and pains 
 poor appetite and weight loss 
 headache 
 night sweats 
 weakness 
 abdominal pain 
 cough 
 abortus 
 canis 
 suis 
 melitensis 
 fatigue 
 fevers 
 joint pain 
 miscarriage 
 birth defects the baby 
"
yellow fever,"fever and chills 
 flu 
 jaundice 
 hepatitis 
 internal bleeding hemorrhaging 
 vomiting 
 shock 
 multisystem organ failure leading death 
"
