sickness_name,symptoms
Atrial fibrillation,"feel of a fast  flutter or pound heartbeat  call palpit 
chest pain 
dizzi 
fatigu 
lightheaded 
reduc abil to exercis 
short of breath 
weak 
 
 symptom come and go  the symptom usual last for a few minut to hour  some peopl have symptom for as long as a week  the episod can happen repeatedli  symptom might go away on their own  some peopl with occasion 
 need treatment 
 the irregular heartbeat is constant  the heart rhythm doe not reset on it own  if symptom occur  medic treatment is need to correct the heart rhythm 
 thi type of 
 is constant and last longer than 12 month  medicin or a procedur are need to correct the irregular heartbeat 
 in thi type of atrial fibril  the irregular heart rhythm can t be reset  medicin are need to control the heart rate and to prevent blood clot 
the two upper chamber are call the atria 
the two lower chamber are call the ventricl 
a heart problem you re born with  call a congenit heart defect 
a problem with the heart s natur pacemak  call sick sinu syndrom 
a sleep disord call obstruct sleep apnea 
heart attack 
heart valv diseas 
high blood pressur 
lung diseas  includ pneumonia 
narrow or block arteri  call coronari arteri diseas 
thyroid diseas such as an overact thyroid 
infect from virus 
drink too much alcohol or caffein 
illeg drug use 
smoke or use tobacco 
take medicin that contain stimul  includ cold and allergi medicin bought without a prescript 
 the risk of 
 increas as you grow older 
 caffein  nicotin and some illeg drug   such as amphetamin and cocain   can caus your heart to beat faster  use of these substanc may lead to the develop of more seriou arrhythmia 
 drink too much alcohol can affect the electr signal in the heart  thi can increas the risk of atrial fibril 
 miner in the blood call electrolyt   such as potassium  sodium  calcium and magnesium   help the heart beat  if these substanc are too low or too high  irregular heartbeat may occur 
 an increas risk of atrial fibril occur in some famili 
 coronari arteri diseas  heart valv diseas and heart problem present at birth increas the risk of 
  a histori of heart attack or heart surgeri also make a person more like to get the condit 
 have high blood pressur increas the risk of get coronari arteri diseas  over time  high blood pressur may caus part of the heart to becom stiff and thick  thi can chang how heartbeat signal travel through the heart 
 peopl who have obes are at higher risk of develop atrial fibril 
 you may be more like to get 
 if you have diabet  chronic kidney diseas  lung diseas or sleep apnea 
 some prescript medicin and certain cough and cold remedi bought without a prescript can caus irregular heartbeat 
 have an overact thyroid gland can rais the risk of irregular heartbeat 
high blood pressur 
diabet 
heart failur 
some type of heart valv diseas 
control high blood pressur  high cholesterol and diabet 
don t smoke or use tobacco 
eat a diet that s low in salt and satur fat 
exercis at least 30 minut a day on most day of the week unless your health care team say not to 
get good sleep  adult should aim for 7 to 9 hour daili 
maintain a healthi weight 
reduc and manag stress 
"
Dry macular degeneration,"visual distort  such as straight line seem bent 
reduc central vision in one or both eye 
the need for brighter light when read or do close up work 
increas difficulti adapt to low light level  such as when enter a dimli lit restaur or theater 
increas blurri of print word 
difficulti recogn face 
a well defin blurri spot or blind spot in the field of vision 
you notic chang  such as distort or blind spot  in your central vision 
you lose the abil to see fine detail 
 thi diseas is most common in peopl over 60 
 thi diseas ha a hereditari compon  research have identifi sever gene link to the condit 
 macular degener is more common in white peopl 
 smoke cigarett or be regularli expos to tobacco smoke greatli increas your risk of macular degener 
 research indic that be obes may increas your chanc that earli or intermedi macular degener will progress to the more sever form of the diseas 
 if you have heart or blood vessel diseas  you may be at higher risk of macular degener 
 for exampl  if you have cardiovascular diseas or high blood pressur  take your medicin and follow your health care provid s instruct for control the condit 
 smoker are more like to develop macular degener than are nonsmok  ask your provid for help stop smoke 
 if you need to lose weight  reduc the number of calori you eat and increas the amount of exercis you get each day 
 these food contain antioxid vitamin that reduc your risk of develop macular degener 
 omega 3 fatti acid  which are found in fish  may reduc the risk of macular degener  nut such as walnut also contain omega 3 fatti acid 
"
Albinism,"freckl 
mole  with or without color  which are sometim pink 
larg freckl like spot  call solar lentigin  len tij ih neez  
sunburn and no abil to tan 
rapid  back and forth movement of the eye that can t be control  call nystagmu 
an uncommon head posit or head postur  such as tilt the head to tri to reduc eye movement and see better 
ey that can t look at the same direct at the same time or they appear to be cross  a condit call strabismu 
problem see near object or far object  call farsighted or nearsighted 
extrem sensit to light  call photophobia 
a differ in the curv of the front surfac of the eye or the len insid the eye  call astigmat  which caus blur vision 
differ in the develop of the thin layer of tissu on the insid back wall of the eye  call the retina  thi differ result in reduc vision 
nerv signal from the retina to the brain that don t follow the usual nerv pathway in the eye  thi is call misrout of the optic nerv 
poor depth percept  which mean not be abl to see thing in three dimens and judg how far away an object is 
legal blind   vision less than 20 200   or complet blind 
 the most common type  mean a person get two copi of a chang gene   one from each parent  thi is call autosom recess inherit  
 is the result of a chang in one of eight gene  label from 
 to 
  
 caus decreas pigment in the skin  hair and eye  as well as vision problem  the amount of pigment vari by type  the result color of skin  hair and eye also vari by and within type 
 is mainli limit to the eye  caus vision problem  the most common form of ocular albin is type 1  thi type is pass down by a gene chang on the x chromosom  x link ocular albin can be pass on by a mother who carri one chang x gene to her son  thi is call x link recess inherit  ocular albin usual occur onli in male  it s much less common than 
 
 can occur  for exampl  hermanski pudlak syndrom includ a form of 
  as well as bleed and bruis problem and lung and bowel diseas  chediak higashi syndrom includ a form of 
  as well as immun problem with recurr infect  problem with the brain and nerv  bleed disord  and other seriou issu 
"
Wet macular degeneration,"visual distort  such as straight line seem bent 
reduc central vision in one or both eye 
the need for brighter light when read or do close up work 
difficulti adjust to low light level  such as when enter a dimli lit restaur or theater 
increas blurri of print word 
difficulti recogn face 
a well defin blurri spot or blind spot in the field of vision 
you notic chang in your central vision 
you lose the abil to see fine detail 
 sometim irregular new blood vessel grow from the choroid under and into the macula  thi is known as choroid neovascular  the choroid is the layer of blood vessel between the retina and the outer  firm coat of the eye  call the sclera  these blood vessel may leak fluid or blood  affect the retina s function 
 when fluid leak from the choroid  it can collect between the thin cell layer call the retin pigment epithelium and the retina or within the layer of the retina  thi may caus irregular in the macula layer  result in vision loss or distort 
 thi diseas is most common in peopl over 55 
 thi diseas ha a genet compon  research have identifi sever gene link to the condit 
 macular degener is more common in white peopl 
 smoke cigarett or be regularli expos to tobacco smoke greatli increas your risk of macular degener 
 research indic that be obes increas the chanc that earli or intermedi macular degener will progress to a more sever form of the diseas 
 if you have diseas that affect your heart and blood vessel  you may be at higher risk of macular degener 
 for exampl  if you have cardiovascular diseas or high blood pressur  take your medicin and follow your health care provid s instruct for control the condit 
 smoker are more like to develop macular degener than nonsmok  ask your provid for help stop smoke 
 if you need to lose weight  reduc the number of calori you eat and increas the amount of exercis you get each day 
 these food contain antioxid vitamin that reduc your risk of develop macular degener 
 omega 3 fatti acid  which are found in fish  may reduc the risk of macular degener  nut such as walnut also contain omega 3 fatti acid 
"
Agoraphobia,"leav home alon 
crowd or wait in line 
enclos space  such as movi theater  elev or small store 
open space  such as park lot  bridg or mall 
use public transport  such as a bu  plane or train 
your fear or anxieti is out of proport to the actual danger of the situat 
you avoid the situat  you need a companion to go with you  or you endur the situat but are extrem upset 
you have major distress or problem with social situat  work or other area in your life becaus of the fear  anxieti or avoid 
your fear and avoid usual last six month or longer 
rapid heart rate 
troubl breath or a feel of choke 
chest pain or pressur 
lightheaded or dizzi 
feel shaki  numb or tingl 
sweat too much 
sudden flush or chill 
upset stomach or diarrhea 
feel a loss of control 
fear of die 
have panic disord or other excess fear reaction  call phobia 
respond to panic attack with too much fear and avoid 
experienc stress life event  such as abus  the death of a parent or be attack 
have an anxiou or nervou person 
have a blood rel with agoraphobia 
depress 
alcohol or drug misus 
suicid thought and behavior 
"
Myelofibrosis,"feel tire  weak or short of breath  usual becaus of anemia
pain or full below your rib on the left side  due to an enlarg spleen
easi bruising
easi bleeding
excess sweat dure sleep  night sweat 
fever
bon pain
 myelofibrosi can affect anyon  but it s most often diagnos in peopl older than 50 
 a small portion of peopl with myelofibrosi develop the condit as a complic of essenti thrombocythemia or polycythemia vera 
 myelofibrosi ha been link to exposur to industri chemic such as toluen and benzen 
 peopl expos to veri high level of radiat have an increas risk of myelofibrosi 
 normal  blood flow from the spleen enter your liver through a larg blood vessel call the portal vein  increas blood flow from an enlarg spleen can lead to high blood pressur in the portal vein  portal hypertens   thi in turn can forc excess blood into smaller vein in your stomach and esophagu  potenti caus these vein to ruptur and bleed 
 a sever enlarg spleen can caus abdomin pain and back pain 
 format of blood cell outsid the bone marrow  extramedullari hematopoiesi  may creat clump  tumor  of develop blood cell in other area of your bodi  these tumor may caus problem such as bleed in your gastrointestin system  cough or spit up of blood  compress of your spinal cord  or seizur 
 as the diseas progress  your platelet count tend to drop below normal  thrombocytopenia  and platelet function becom impair  an insuffici number of platelet can lead to easi bleed   an issu that you and your doctor will want to discuss if you re contempl ani type of surgic procedur 
 some peopl with myelofibrosi eventu develop acut myelogen leukemia  a type of blood and bone marrow cancer that progress rapidli 
"
Alcohol poisoning,"confus 
vomit 
seizur 
slow breath  which is fewer than eight breath a minut 
breath that s not regular  thi is when there is a gap of more than 10 second between breath 
skin that look blue  gray or pale 
low bodi temperatur  also known as hypothermia 
troubl stay consciou or awak 
 or your local emerg number right away  never assum the person will sleep off alcohol poison 
 if you know the kind and amount of alcohol the person drank  and when  tell hospit or emerg staff 
 becaus alcohol poison affect the way the gag reflex work  someon with alcohol poison may vomit and choke and not be abl to breath  while wait for help  don t tri to make the person vomit becaus that could caus choke 
 tri to keep the person sit up  if the person must lie down  turn the head to the side to help prevent choke  tri to keep the person awak 
isopropyl alcohol  which is found in rub alcohol  lotion and some clean product 
methanol or ethylen glycol  which is a common ingredi in antifreez  paint and solvent 
 12 fluid ounc  360 millilit  with about 5  alcohol 
 8 to 9 fluid ounc  240 to 270 millilit  with about 7  alcohol 
 5 fluid ounc  150 millilit  with about 12  alcohol 
 1 5 fluid ounc  45 millilit  of an 80 proof drink  which ha about 40  alcohol 
your height and weight 
health condit that affect how your bodi process alcohol 
whether you ve eaten recent 
whether you ve had alcohol along with other drug  includ medicin you take for health reason 
the percentag of alcohol in your drink 
how fast and how much alcohol you drink 
how your bodi process alcohol 
 alcohol may caus vomit  becaus it depress the gag reflex  thi increas the risk of choke on vomit if a person pass out 
 accident inhal vomit into the lung can lead to a danger or fatal interrupt of breath  also known as asphyxi 
 vomit can result in sever dehydr  which happen when the bodi doesn t have enough water and other fluid  thi can lead to danger low blood pressur and a fast heart rate 
 the blood sugar level may drop low enough to caus seizur 
 the bodi temperatur may drop so low that it lead to cardiac arrest 
 alcohol poison can caus a heartbeat that is not regular  it can even caus the heart to stop 
 heavi drink may caus brain damag that can t be revers 
 ani of the issu abov can lead to death 
 if you choos to drink alcohol  do so in moder  for healthi adult  that mean up to two drink a day for male and one drink a day for femal  when you drink  enjoy your drink slowli 
 some medicin can caus harm effect when taken with even small amount of alcohol  and certain health condit may mean it take less alcohol than expect to reach the level of alcohol poison  ask your health care provid if these risk appli to you 
 have some food in your stomach may slow the process of absorb alcohol somewhat  but it won t prevent alcohol poison dure bing drink 
 talk to your teenag about the danger of alcohol  includ bing drink  evid suggest that children who are warn about alcohol by their parent and who report close relationship with their parent are less like to start drink 
 if you have small children  store alcohol contain product  includ cosmet  mouthwash and medicin  out of their reach  use childproof bathroom and kitchen cabinet to prevent access to household cleaner  keep toxic item in your garag or storag area safe out of reach  consid keep alcohol beverag under lock and key 
 ask about follow up care for alcohol poison  meet with a health care provid  particularli an experienc chemic depend counselor  can help prevent futur bing drink 
"
Adult Still disease," fever may rise to at least 102 degre fahrenheit  38 9 degre celsiu   the fever may spike onc or twice a day for a week or longer  
 a rash might come and go with the fever  the rash usual appear on the trunk  arm or leg 
 thi is one of the first symptom of adult still diseas  the lymph node in the neck might be swollen and tender 
 joint   especi in the knee and wrist  might be stiff  pain and inflam  ankl  elbow  hand and shoulder also might ach  the joint discomfort usual last at least two week 
 muscular pain usual come and goe with the fever  the pain can be sever enough to disrupt daili activ 
 the chronic swell and irrit that occur with adult still diseas can damag the joint  the most commonli involv joint are the knee and wrist  sometim other joint  includ the neck  foot  finger and hip joint  also are affect 
 adult still diseas can inflam the saclik cover of the heart  call the pericardium  thi result in inflamm of the pericardium  call pericard  the diseas can also inflam the muscular part of the heart  call the myocardium  thi result in inflamm of the myocardium  call myocard 
 inflamm may caus fluid to build up around the lung  when thi happen  it can be hard to take deep breath 
 thi is a rare but seriou complic of adult still diseas  it happen when the immun system goe into overdr and potenti harm organ such as the heart  liver  spleen and kidney 
"
Childhood schizophrenia,"problem with think and reasoning
bizarr idea or speech
confus dream or televis for reality
withdraw from friend and family
troubl sleeping
lack of motiv   for exampl  show up as a drop in perform at school
not meet daili expect  such as bath or dressing
bizarr behavior
viol or aggress behavior or agitation
recr drug or nicotin use
irrit or depress mood
lack of emot  or emot inappropri for the situation
strang anxieti and fears
excess suspicion of others
 these are fals belief that are not base in realiti  for exampl  you think that you re be harm or harass  that certain gestur or comment are direct at you  that you have except abil or fame  that anoth person is in love with you  or that a major catastroph is about to occur  delus occur in most peopl with schizophrenia 
 these usual involv see or hear thing that don t exist  yet for the person with schizophrenia  hallucin have the full forc and impact of a normal experi  hallucin can be in ani of the sens  but hear voic is the most common hallucin 
 disorgan think is infer from disorgan speech  effect commun can be impair  and answer to question may be partial or complet unrel  rare  speech may includ put togeth meaningless word that can t be understood  sometim known as word salad 
 thi may show in sever way  from childlik silli to unpredict agit  behavior is not focus on a goal  which make it hard to do task  behavior can includ resist to instruct  inappropri or bizarr postur  a complet lack of respons  or useless and excess movement 
 thi refer to reduc or lack of abil to function normal  for exampl  the person may neglect person hygien or appear to lack emot   doesn t make eye contact  doesn t chang facial express  speak in a monoton  or doesn t add hand or head movement that normal occur when speak  also  the person may avoid peopl and activ or lack the abil to experi pleasur 
less like to have delusions
mor like to have visual hallucinations
hav a famili histori of schizophrenia
increas immun system activ  such as from inflammation
old age of the father
som pregnanc and birth complic  such as malnutrit or exposur to toxin or virus that may impact brain development
tak mind alter  psychoact  drug dure teen years
suicid  suicid attempt and thought of suicide
self injury
anxieti disord  panic disord and obsess compuls disord  ocd 
depression
abus of alcohol or other drug  includ nicotine
famili conflicts
in to live independ  attend school or work
soci isolation
health and medic problems
b victimized
leg and financi problem  and homelessness
aggress behavior  although uncommon
"
Autoimmune pancreatitis,"dark urin 
pale stool or stool that float in the toilet 
yellow skin and eye  call jaundic 
pain in your upper belli or middl part of your back 
nausea and vomit 
weak or extrem tired 
loss of appetit or feel of full 
weight loss for no known reason 
in type 1 
  the diseas may affect other organ in addit to the pancrea  type 2 
 affect onli the pancrea  type 2 diseas also is associ with anoth autoimmun condit call inflammatori bowel diseas 
type 1 
 mostli affect men in the sixth to seventh decad of life 
type 2 
 affect both men and women equal and ha a younger age of onset compar with type 1 
 
type 1 
 is more like to relaps after treatment is discontinu 
are over age 60 
are male 
are often one or two decad younger than those with type 1 
are as like to be femal as male 
are more like to have inflammatori bowel diseas  such as ulcer coliti 
 
 may affect the abil of your pancrea to make enough enzym  symptom may includ diarrhea  weight loss  metabol bone diseas  and vitamin or miner defici 
 becaus the pancrea is the organ that produc insulin  damag to it may caus diabet  you may need treatment with oral medicin or insulin 
"
