Sickness_Name,Symptoms
alpha-1 antitrypsin (aat) deficiency,"['wheezing whistling sounds breathe', 'colds often', 'feeling tired', 'fast heartbeat stand', 'weight loss', 'vitamin', 'medicines ease', 'treatments bleeding fluid belly']"
achilles tendon injury,"['heard pop snap time injury', 'bear weight foot ankle', 'pain keeps night', 'leg swelling', 'foot ankle turns different color', 'foot ankle feels hotter colder rest leg', 'signs infection like high fever feeling run']"
epilepsy corpus callosotomy,"['scalp numbness', 'nausea', 'feeling tired depressed', 'headaches', 'difficulty speaking remembering things finding words', 'paralysis weakness loss sensation', 'change personality']"
amenorrhea,"['pain', 'changes', 'headaches', 'acne', 'hair loss', 'milky discharge nipples']"
bursitis,"['imaging tests', 'lab tests']"
dwarfism,"['larger head', 'late development certain motor skills sitting walking', 'breathing problems', 'curvature spine', 'bowed legs', 'joint stiffness', 'lower back pain', 'crowding teeth']"
bunions,"['swelling', 'redness', 'tenderness touch', 'pain', 'limited movement joint toe', 'corns calluses']"
bird flu,"['gut problems nausea belly pain diarrhea vomiting', 'breathing problems shortness breath serious respiratory distress failure pneumonia respiratory diseases', 'brain nervous system changes might notice shifts behavior thinking even organ function seizures possible serious cases']"
autosomal dominant polycystic kidney disease,"['pain', 'blood', 'swelling belly cysts grow', 'fatigue', 'need pee often', 'irregular periods', 'nausea', 'shortness breath', 'swollen ankles', 'erectile dysfunction']"
pudendal neuralgia,"['sharp burning pain', 'sensitivity', 'numbness pins needles feeling like leg falls asleep', 'swollen feeling', 'sudden frequent need bathroom', 'trouble pain sex', 'men problems getting erection']"
brucellosis,"['fever common symptom high spikes usually occur afternoon', 'back pain', 'body wide aches pains', 'poor appetite weight loss', 'headache', 'night sweats', 'weakness', 'abdominal pain', 'cough', 'abortus', 'canis', 'suis', 'melitensis', 'fatigue', 'fevers', 'joint pain', 'miscarriage', 'birth defects baby']"
yellow fever,"['fever chills', 'flu', 'jaundice', 'hepatitis', 'internal bleeding hemorrhaging', 'vomiting', 'shock', 'multisystem organ failure leading death']"
burning mouth syndrome,"['burning feeling tongue roof mouth gums inside cheeks back throat may relieved eating drinking', 'numbness tingling tongue come', 'trouble swallowing', 'dry mouth', 'sore throat', 'changes taste bad taste metal mouth', 'allergy test', 'biopsy', 'blood', 'scan several rays taken different angles put together show complete picture', 'mri powerful magnets radio waves combine make detailed images', 'salivary flow tests measure', 'medicines help nerve related pain amitriptyline', 'capsaicin', 'clonazepam', 'female', 'mouth rinses', 'products replace', 'vitamin', 'avoid acidic foods like tomatoes orange citrus juices', 'avoid', 'avoid cinnamon mint', 'avoid spicy foods', 'avoid', 'chew', 'drink lot fluids', 'reduce stress', 'stay socially active join pain support group', 'suck crushed ice']"
cystic lung disease,"['chest pain', 'tiredness', 'coughing', 'shortness breath', 'wheezing', 'chest pain', 'fever', 'night sweats', 'tiredness', 'weight loss']"
cyclic migraines,"['stress', 'changes', 'changes weather', 'dehydration', 'alcohol', 'types foods', 'strong smells foods chemicals perfume']"
cushing's syndrome,"['rounded rosy face', 'weight gain', 'fat pad upper back base neck may hear called buffalo hump', 'thinning skin easy', 'acne', 'weak muscles especially using shoulders hip muscles', 'high blood pressure', 'high', 'depression', 'osteoporosis', 'kidney stones', 'sleep', 'extra hair growth body face', 'irregular periods', 'low', 'decreased', 'amount extra cortisol', 'cause high cortisol', 'long condition', 'overall health']"
dyslexia,"['hard learn remember letters alphabet', 'gets letters words mixed', 'falls behind peers language skills', 'mispronounces familiar words', 'trouble letters mistaking', 'recognize rhyming patterns like humpty dumpty sat wall humpty dumpty great fall']"
abnormal uterine bleeding,"['blood work', 'ultrasound', 'hysteroscopy', 'biopsy', 'magnetic resonance imaging', 'hormones', 'gonadotropin releasing hormone agonists gnrha gnrha antagonists', 'nsaids', 'tranexamic acid', 'iud', 'endometrial ablation', 'myomectomy uterine', 'hysterectomy']"
ovarian cysts,"['pelvic pain pressure', 'dull ache back', 'bloating', 'nausea', 'swelling belly area', 'pain sex', 'pain period', 'frequent urge pee poop', 'bloating pressure belly', 'urges pee often', 'pain lower belly pelvis', 'pain lower back', 'fatigue', 'changes often poop including constipation', 'losing weight known reason']"
peptic ulcer,"['bloated feeling', 'burping', 'lack appetite weight loss', 'nausea', 'bloody dark', 'vomiting']"
losing voice,"['pain swallowing', 'pain ear', 'trouble breathing', 'lump neck']"
duchenne muscular dystrophy,"['curved spine also called', 'shortened tight muscles legs called contractures', 'headaches', 'problems learning memory', 'shortness breath', 'sleepiness', 'trouble concentrating', 'old child started walking', 'well things like run climb stairs get floor', 'long noticed problems', 'anyone else family', 'well pay attention remember things']"
rubella,"['mild fever 100', 'swollen pink colored', 'headache', 'swollen glands', 'stuffy', 'cough', 'sore joints common young women', 'general discomfort', 'lymph nodes may swollen enlarged']"
exocrine pancreatic insufficiency,"['pain tenderness belly', 'bad smelling bowel movements', 'diarrhea', 'gas', 'feeling full', 'pain upper belly', 'bad smelling bowel movements oily hard flush toilet', 'gas diarrhea', 'lost weight']"
germ cell tumors,"['blood', 'imaging']"
exercise treat arthritis,"['help maintain normal joint movement', 'increase muscle flexibility strength', 'help maintain weight reduce pressure joints', 'help keep bone cartilage tissue strong healthy', 'improve endurance cardiovascular fitness', 'unusual persistent', 'sharp increased pain', 'increased weakness', 'decreased range motion', 'increased', 'continuing pain']"
copd exercise,"['nausea', 'dizziness', 'weakness', 'rapid', 'severe shortness breath', 'pain', 'pressure pain chest arm neck jaw shoulder']"
frozen shoulder (adhesive capsulitis),"['joint distension', 'physical therapy', 'surgery', 'shoulder manipulation']"
neuroleptic malignant syndrome,"['high fever', 'muscle stiffness', 'sweating', 'anxiety changes mental state', 'fast abnormal heartbeat', 'quick breathing', 'blood', 'brain', 'test spinal fluid', 'eeg find electrical problems brain']"
plantar fasciitis,['ray rule']
fournier's gangrene,"['pain around genitals anus gets worse', 'pain belly', 'color changes sore area', 'bad smell sore area', 'itchiness', 'popping sound rub sore area', 'fever chills', 'fast heart rate', 'low blood pressure', 'confusion', 'nausea vomiting', 'low energy', 'computerized tomography scan might help find infection', 'ultrasound exam help rule problems cause similar symptoms', 'rays look gas damaged tissues gas released bacteria cause fournier gangrene', 'blood tests look signs infections clues']"
